Page in 1991	Sort	Page in 2025	Ready	Title	Text Meter	Scripture	Key	Text Attribution	Tune Attribution	Copyright
111b	111.2	111.2	TRUE	TO DIE NO MORE	L.M.	For God hath not given us the spirit of fear; but of power, and of love, and of a sound mind.—2 Tim. 1:7.	A Major	Isaac Watts, 1707.	Arr. Edmund Dumas, 1856. Alto S. M. Denson, 1911.	[no copyright]
112	112	112	TRUE	THE LAST WORDS OF COPERNICUS	C.M.D.	They need no candle, neither light of the sun; for the Lord God giveth them light.—Rev. 22:5.	F Major	Philip Doddridge, 1755.	Sarah Lancaster, 1870. Alto arr. S. M. Denson, 1911, from Minnie Floyd, 1902, and J. L. White, 1909.	[no copyright]
113	113	113	TRUE	THE PRODIGAL SON	C.M.	For this my son was dead, and is alive again; he was lost, and is found.—Luke 15:24.	A Major	John Newton, 1779.	Arr. E. J. King, 1844.	[no copyright]
114	114	114	TRUE	SAINT’S DELIGHT	C.M.	Holding the mystery of the faith in a pure conscience.—1 Tim. 3:9.	F♯ Minor	Isaac Watts, 1707.	F. Price, 1835. Alto The Christian Harmony, 1867.	[no copyright]
n785	10785	115	TRUE	HOLBROOK	P.M.	For thou hast been a strength to the poor, a strength to the needy in his distress, a refuge from the storm.—Isa. 25:4.	F Minor	Charles A. Tindley, 1905.	Allison Blake Steel, 2021.	Copyright 2025 Sacred Harp Publishing Company.
n1216	11216	116	TRUE	HOOPER	P.M.	O come, let us sing unto the Lord: let us make a joyful noise to the rock of our salvation.—Ps. 95:1.	B Minor	John Adam Granade, 1807	Arr. Fynnian Titford-Mock, 2024, from Barry Parsons, 2017.	Copyright 2025 Sacred Harp Publishing Company.
117	117	117	TRUE	BABYLON IS FALLEN	6 lines, 8s & 7s.	He cried mightily with a strong voice, saying, Babylon the great is fallen, is fallen.—Rev. 18:2.	E Minor	v. 1–2 Richard McNemar, 1813. v. 3 Millard and Badger’s Hymns, 1834.	Arr. W. E. Chute, 1875.	[no copyright]
n1179	11179	118	TRUE	HEAVENLY MEETING	S.M.	Behold, thou hast made my days as an handbreadth; and mine age is as nothing before thee.—Ps. 39:5.	A Minor	John Leland, 1790.	Arr. John G. McCurry, 1846.	[no copyright]
119	119	119	TRUE	HEAVEN’S MY HOME	11s.	In heaven ... we look for the Saviour, the Lord Jesus Christ.—Phil. 3:20.	G Major	v. 1 The Sacred Harp, 1870. v. 2–3 David Denham, 1837.	R. H. Davis and John S. Terry, 1870.	[no copyright]
120	120	120	TRUE	CHAMBERS	S.P.M.	The Lord reigneth, he is clothed with majesty.—Ps. 93:1.	D Major	Isaac Watts, 1719.	Arr. B. F. White, 1870, from Samuel Holyoke, 1803. Alto W. M. Cooper, 1902.	[no copyright]
121	121	121	TRUE	FLORENCE	C.M.D.	The harvest is the end of the world.—Matt. 13:39.	F Major	v. 1 Philip Doddridge, 1755. v. 2–3 John Adam Granade, 1804.	Arr. T. W. Carter, 1844. Alto William Caldwell, 1837.	[no copyright]
122	122	122	TRUE	ALL IS WELL	P.M.	For to me to live is Christ, and to die is gain.—Phil. 1:21.	A Major	Pious Songs, 1836.	Arr. J. T. White, 1844. Alto W. M. Cooper, 1902.	[no copyright]
123t	123.1	123.1	TRUE	THE DYING CHRISTIAN	11s & 8s.	Dying, and, behold, we live.—2 Cor. 6:9.	A Major	Benjamin Francis, 1795.	Arr. E. J. King, 1844. Alto S. M. Denson, 1911.	[no copyright]
123b	123.2	123.2	TRUE	CROSS OF CHRIST	C.M.D.	While we were yet sinners, Christ died for us.—Rom. 5:8.	G Minor	v. 1 The Southern Harmony, 1835. v. 2 Reginald Heber, 1827.	Leonard P. Breedlove, 1844. Alto William Walker, 1867.	[no copyright]
124	124	124	TRUE	LOVER OF THE LORD	C.M.	For men shall be lovers of their own selves ... lovers of pleasures more than lovers of God.—2 Tim. 3:2, 4.	A Major	Charles Wesley, 1749.	Arr. R. H. Reeves, 1870.	[no copyright]
125	125	125	TRUE	EXPRESSION	11s.	I love the Lord, because he hath heard my voice and my supplications.—Ps. 116:1.	D Minor	Caleb Jarvis Taylor, 1804.	Arr. The Sacred Harp, 1844. Alto W. R. McCoy, 1902.	[no copyright]
126	126	126	TRUE	BABEL’S STREAMS	C.M.D.	We hanged our harps upon the willows in the midst thereof.—Ps. 137:2.	E Minor	Scottish Psalter, 1650, and Stephen Jenks, 1811.	Stephen Jenks, 1811. Alto W. R. McCoy, 1902.	[no copyright]
127	127	127	TRUE	GREEN FIELDS	8s D.	Whom have I in heaven but thee? and there is none upon earth that I desire beside thee.—Ps. 73:25.	G Major	John Newton, 1779.	Arr. The Kentucky Harmonist, 1818.	[no copyright]
128	128	128	TRUE	THE PROMISED LAND	C.M.	And I will give unto thee ... all the land of Canaan.—Gen. 17:8.	F♯ Minor	Samuel Stennett, 1787.	Matilda T. Durham, 1835. Alto Anna Blackshear, 1902.	[no copyright]
129	129	129	TRUE	HEAVENLY ARMOR	7s & 6s D.	Let not your heart be troubled, neither let it be afraid.—John 14:27.	C Major	John Leland, 1793.	William Walker, 1828. Alto Anna Blackshear, 1902.	[no copyright]
n786	10786	130	TRUE	THE OLD GRAVEYARD	8s & 7s.	Boast not thyself of to morrow; for thou knowest not what a day may bring forth.—Prov. 27:1.	G Minor	Selah Gridley, 1795, and Proverbs 27:1, alt.	Allison Blake Steel, 2019.	Copyright 2025 Sacred Harp Publishing Company.
131t	131.1	131.1	TRUE	MESSIAH	C.M.D.	For we must all appear before the judgment seat of Christ.—2 Cor. 5:10.	F♯ Minor	v. 1 Samuel Stennett, 1787. v. 2 Charles Wesley, 1763.	James P. Carrell, 1821.	[no copyright]
131b	131.2	131.2	TRUE	INVOCATION	P.M.	Thou shalt have treasure in heaven.—Matt. 19:21.	A Major	Robert Seagrave, 1742.	The Southern Harmony, 1835. Alto Anna Blackshear, 1902.	[no copyright]
132	132	132	TRUE	SINNER’S FRIEND	L.M.H.	Christ Jesus came into the world to save sinners.—1 Tim. 1:15.	F♯ Minor	Isaac Watts, 1709, alt. Martin Madan, 1760.	Arr. J. P. Rees, 1870. Alto W. M. Cooper, 1902.	[no copyright]
133	133	133	TRUE	HEBREW CHILDREN	P.M.	But the Lord hath taken you, and brought you forth out of the iron furnace.—Deut. 4:20.	D Minor	The Sacred Harp, 1844.	Arr. Original Sacred Harp, 1966, from B. F. White, 1844.	Copyright 1966 Sacred Harp Publishing Company.
134	134	134	TRUE	THE CHRISTIAN’S HOPE	8,8,8,6 D.	But if we hope for that we see not, then do we with patience wait for it.—Rom. 8:25.	A Major	Social and Camp-Meeting Songs, 1822.	William Walker, 1835. Alto 1867.	[no copyright]
135	135	135	TRUE	OLNEY	8s & 7s D.	In that day there shall be a fountain opened ... for sin and for uncleanness.—Zech. 13:1.	F Major	Robert Robinson, 1758.	Arr. Johnson’s Tennessee Harmony, 1818. Alto W. M. Cooper, 1902.	[no copyright]
136	136	136	TRUE	MORALITY	11s.	But I thy servant fear the Lord from my youth.—1 Kings 18:12.	G Major	Hannah More, 1762.	Arr. Wyeth’s Repository, Part Second, 1813. Alto The Christian Harmony, 1867.	[no copyright]
137	137	137	TRUE	LIBERTY	C.M.	Deliver me from the oppression of man.—Ps. 119:134.	F Major	The Weekly Museum, 1795.	Stephen Jenks, 1800.	[no copyright]
138t	138.1	138.1	TRUE	ADORATION	C.M.	Praise him for his mighty acts: praise him according to his excellent greatness.—Ps. 150:2.	G Major	Anne Steele, 1760.	W. W. Parks, 1870.	[no copyright]
138b	138.2	138.2	TRUE	OGLETREE	C.M.	And the apostles said unto the Lord, Increase our faith.—Luke 17:5.	G Major	Simon Browne, 1720.	S. M. Brown, 1870. Alto S. M. Denson, 1911.	[no copyright]
139	139	139	TRUE	ELYSIAN	P.M.	There was a rainbow round about the throne, in sight like unto an emerald.—Rev. 4:3.	G Major	Richard Kempenfelt, 1777.	Arr. Songs of Zion, 1821. Alto The Christian Harmony, 1867.	[no copyright]
n620	10620	140	TRUE	MORENO	L.M.H.	In the day of atonement shall ye make the trumpet sound throughout all your land.—Lev. 25:9.	E Minor	v. 1 The Western Missionary Magazine, 1803. v. 2–3 Saunders’s Collection, 1791.	Aldo Thomas Ceresa, 2008.	Copyright 2025 Sacred Harp Publishing Company.
141	141	141	TRUE	COMPLAINER	7s & 6s D.	These are murmurers, complainers, walking after their own lusts.—Jude 1:16.	G Major	Purify’s Selection, 1831.	William Walker, 1835. Alto 1867.	[no copyright]
142	142	142	TRUE	STRATFIELD	L.M.	Heaven is my throne, and earth is my footstool: what house will ye build me? saith the Lord: or what is the place of my rest?—Acts 7:49.	F♯ Minor	Isaac Watts, 1719.	Ezra Goff, 1786.	[no copyright]
143	143	143	TRUE	PLEYEL’S HYMN SECOND	C.M.D.	Power belongeth unto God. Also unto thee, O Lord, belongeth mercy.—Ps. 62:11–12.	F Major	Helen Maria Williams, 1790.	Arr. Sunday’s Amusement, 1801, from Ignaz Joseph Pleyel, 1786.	[no copyright]
144	144	144	TRUE	JUBILEE	8s & 7s D.	For the grace of God that bringeth salvation hath appeared to all men—Titus 2:11.	A Major	The Baltimore Collection, 1801.	A Supplement to the Kentucky Harmony, 1820.	[no copyright]
145t	145.1	145.1	TRUE	WARRENTON	8s & 7s.	And shall lead them unto living fountains of waters.—Rev. 7:17.	G Major	Robert Robinson, 1758.	Arr. The Southern Harmony, 1838. Alto William Walker, 1873.	[no copyright]
145b	145.2	145.2	TRUE	SWEET AFFLICTION	8s & 7s.	Be of good cheer; I have overcome the world.—John 16:33.	F Major	Samuel Pearce, 1800.	Arr. The Southern Harmony, 1840, from Jean-Jacques Rousseau, 1752. Alto The Christian Harmony, 1867.	[no copyright]
146	146	146	TRUE	HALLELUJAH	C.M.	Let me die the death of the righteous, and let my last end be like his!—Num. 23:10.	A♭ Major	Charles Wesley, 1759.	William Walker, 1835. Alto 1867.	[no copyright]
147t	147.1	147.1	TRUE	BOYLSTON	S.M.	God is the strength of my heart, and my portion for ever.—Ps. 73:26.	C Major	Isaac Watts, 1707.	Lowell Mason, 1832.	[no copyright]
147b	147.2	147.2	TRUE	LABAN	S.M.	For I have kept the ways of the Lord, and have not wickedly departed from my God.—2 Sam. 22:22.	C Major	George Heath, 1781.	Lowell Mason, 1831.	[no copyright]
148	148	148	TRUE	JEFFERSON	8s & 7s.	New Jerusalem, which cometh down out of heaven from my God: and I will write upon him my new name.—Rev. 3:12.	A Minor	John Newton, 1779.	Johnson’s Tennessee Harmony, 1818. Alto Anna Blackshear, 1902.	[no copyright]
149	149	149	TRUE	THE TRUMPET	11,12,12,12.	For the trumpet shall sound, and the dead shall be raised incorruptible, and we shall be changed.—1 Cor. 15:52.	D Major	Henry Hart Milman, 1827.	J. Williams, 1831. Treble and alto William Walker, 1835, 1867.	[no copyright]
150	150	150	TRUE	AMITY	S.P.M.	And let the peace of God rule in your hearts.—Col. 3:15.	A Major	Isaac Watts, 1719.	Daniel Read, 1785.	[no copyright]
151	151	151	TRUE	SYMPHONY	6 lines, 10s.	For the hour of his judgment is come: and worship him that made heaven, and earth, and the sea.—Rev. 14:7.	E♭ Major	Isaac Watts, 1719.	Justin Morgan, 1790.	[no copyright]
152	152	152	TRUE	SHEPHERDS REJOICE	C.M.D.	And the shepherds returned, glorifying and praising God.—Luke 2:20.	F Major	Isaac Watts, 1709.	Leonard P. Breedlove, 1850. Alto S. M. Denson, 1911.	[no copyright]
153	153	153	TRUE	RESURRECTED	C.M.H.	And they ascended up to heaven in a cloud.—Rev. 11:12.	F Major	Arr. S. M. Denson, 1908.	Arr. S. M. Denson, 1908. Treble Sidney Burdette Denson, 1908.	[no copyright]
154	154	154	TRUE	REST FOR THE WEARY	8s & 7s.	I ... will sing unto the Lord; I will sing praise to the Lord God of Israel.—Judg. 5:3.	E♭ Major	Robert Robinson, 1758.	Arr. B. F. White, 1870, from W. McDonald and J. W. Dadmun, 1860. Alto S. M. Denson, 1911.	[no copyright]
155	155	155	TRUE	NORTHFIELD	C.M.	How long, Lord? wilt thou hide thyself for ever?—Ps. 89:46.	B♭ Major	Isaac Watts, 1707.	Jeremiah Ingalls, 1800.	[no copyright]
156	156	156	TRUE	JESUS ROSE	[no marking]	And go quickly, and tell his disciples that he is risen from the dead.—Matt. 28:7.	D Major	The Sacred Harp, 1870.	H. S. Rees, 1870. Alto W. M. Cooper, 1902.	[no copyright]
157	157	157	TRUE	ESSAY	7s & 6s D.	Let them that suffer according to the will of God commit the keeping of their souls to him in well doing.—1 Pet. 4:19.	D Major	Purify’s Selection, 1823.	A. C. Clark, 1840. Alto The Sacred Harp, Cooper revision, 1902.	[no copyright]
158	158	158	TRUE	FUNERAL THOUGHT	P.M.	And there shall be no night there; and they need no candle, neither light of the sun; for the Lord God giveth them light.—Rev. 22:5.	F Major	Reginald Heber, 1818.	William Caldwell, 1837.	[no copyright]
159	159	159	TRUE	WONDROUS LOVE	12,9,6,6,12,9.	For God so loved the world, that he gave his only begotten Son.—John 3:16.	F Minor	Mead’s General Selection, 1811.	James Christopher, 1840. Alto Anna Blackshear, 1902.	[no copyright]
n1238	11238	160.1	TRUE	PROSPERITY	L.M.	Let us be glad and rejoice, and give honour to him: for the marriage of the Lamb is come.—Rev. 19:7.	B♭ Major	The Baltimore Collection, 1801.	Leonard P. Breedlove, 1850.	[no copyright]
160b	160.2	160.2	TRUE	TURN, SINNER, TURN	L.M.	Choose you this day whom ye will serve.—Josh. 24:15.	D Minor	Cady and Eells’s Collection, 1807.	Arr. E. J. King, 1844. Alto W. M. Cooper, 1902.	[no copyright]
n340	10340	161	TRUE	SOUTHMINSTER	6,6,9,6,6,9 D.	Arise, shine; for thy light is come, and the glory of the Lord is risen upon thee.—Isa. 60:1.	B♭ Major	Charles Wesley, 1767.	Steven Brett, 2017.	Copyright 2025 Sacred Harp Publishing Company.
162	162	162	TRUE	PLENARY	C.M.	Marvel not at this: for the hour is coming, in the which all that are in the graves shall hear his voice.—John 5:28.	G Major	Isaac Watts, 1707.	Arr. A. C. Clark, 1839. Alto Minnie Floyd, 1902.	[no copyright]
163t	163.1	163.1	TRUE	MORNING	L.M.	Greater love hath no man than this, that a man lay down his life for his friends.—John 15:13.	F♯ Minor	Isaac Watts, 1709, alt. Martin Madan, 1760.	Amos Pilsbury, 1799. Alto Anna Blackshear, 1902.	[no copyright]
163b	163.2	163.2	TRUE	CHINA	C.M.	And she went and told them that had been with him, as they mourned and wept.—Mark 16:10.	D Major	Isaac Watts, 1707.	Timothy Swan, 1801.	[no copyright]
164	164	164	TRUE	DUANE STREET	L.M.D.	I was thirsty, and ye gave me drink: I was a stranger, and ye took me in: naked, and ye clothed me.—Matt. 25:35–36.	A Major	James Montgomery, 1826.	George Coles, 1835. Treble J. T. White, 1844. Alto Anna Blackshear, 1902.	[no copyright]
165	165	165	TRUE	FAMILY BIBLE	12s & 11s D.	And thou shalt teach them diligently unto thy children, and shalt talk of them when thou sittest in thine house.—Deut. 6:7.	A Minor	Charleston Courier, 1818.	Arr. William Caldwell, 1837. Alto B. P. Poyner, 1902.	[no copyright]
166	166	166	TRUE	STILL BETTER	8s & 7s D.	Your labour is not in vain in the Lord.—1 Cor. 15:58.	C Major	The Sacred Harp, 1870.	Israel Mayfield and J. L. Meggs, 1870. Alto Minnie Floyd, 1902.	[no copyright]
167	167	167	TRUE	PRAY, BRETHREN, PRAY	P.M.	I will pray with the spirit, and ... I will sing with the spirit.—1 Cor. 14:15.	F Major	William Hunter, 1845.	The Minstrel of Zion, 1845. Treble U. G. Wood, 1870. Alto S. M. Denson, 1911.	[no copyright]
168	168	168	TRUE	COWPER	L.M.	Behold, what manner of love the Father hath bestowed upon us, that we should be called the sons of God.—1 John 3:1.	G Minor	v. 1 William Cowper, 1779. v. 2 Ann Taylor, 1808.	Oliver Holden, 1803.	[no copyright]
n458	10458	169	TRUE	GOD’S HELPING HAND	L.M.	Thou shalt guide me with thy counsel.—Ps. 73:24.	E Minor	v. 1 Philip Doddridge, 1755, alt. The Whole Book of Psalms, 1793. v. 2 Ferbia Dunagan, 1954.	O. A. Parris, 1954.	Copyright 1954 Christian Harmony Music Company.
170	170	170	TRUE	EXHILARATION	L.M.	And washed us from our sins in his own blood.—Rev. 1:5.	F Major	The Baltimore Collection, 1801.	T. W. Carter, 1844. Alto S. M. Denson, 1911.	[no copyright]
171	171	171	TRUE	EXHORTATION	C.M.	My voice shalt thou hear in the morning, O Lord; in the morning will I direct my prayer unto thee.—Ps. 5:3.	F Major	Isaac Watts, 1719.	Hibbard, 1796.	[no copyright]
172	172	172	TRUE	HARMONY	C.P.M.	Praise ye the Lord ... Beasts, and all cattle; creeping things, and flying fowl.—Ps. 148:1, 10.	G Major	John Ogilvie, 1762.	Abner Ellis, 1805. Alto Anna Blackshear, 1902.	[no copyright]
173	173	173	TRUE	PHOEBUS	C.M.D.	Evening, and morning, and at noon, will I pray, and cry aloud: and he shall hear my voice.—Ps. 55:17.	F♯ Minor	Isaac Watts, 1719.	William Billings, 1778.	[no copyright]
174	174	174	TRUE	PETERSBURG	L.M.D.	Thy kingdom is an everlasting kingdom, and thy dominion endureth throughout all generations.—Ps. 145:13.	D Major	John Logan, 1781.	William Billings, 1786.	[no copyright]
175	175	175	TRUE	HIGHLANDS OF HEAVEN	6s & 7s D.	My kingdom is not of this world.—John 18:36.	F Major	The Pilgrims’ Songster, 1853.	Arr. J. D. Arnold, 1870. Alto S. M. Denson, 1911.	[no copyright]
176t	176.1	176.1	TRUE	RAGAN	L.M.H.	Precious in the sight of the Lord is the death of his saints.—Ps. 116:15.	F Major	The Baltimore Collection, 1801.	Arr. W. F. Moore, 1870. Alto S. M. Denson, 1911.	[no copyright]
176b	176.2	176.2	TRUE	BLOOMING YOUTH	C.M.	The fear of the Lord is the beginning of wisdom.—Prov. 9:10.	C Major	Thomas Gibbons, 1769.	Henry G. Mann, 1870.	[no copyright]
177	177	177	TRUE	THE CHRISTIAN’S FLIGHT	P.M.	Behold, thy days approach that thou must die.—Deut. 31:14.	F Major	Philip Doddridge, 1755.	W. F. Moore, 1866.	[no copyright]
178	178	178.1	TRUE	AFRICA	C.M.	The Lord hath comforted his people, and will have mercy upon his afflicted.—Isa. 49:13.	E♭ Major	Isaac Watts, 1707.	William Billings, 1770.	[no copyright]
n1232	11232	178.2	FALSE	GAINES	C.M.	I will declare thy name unto my brethren, in the midst of the church will I sing praise unto thee.—Heb. 2:12.	A Major	#N/A	William Hauser, 1848.	[no copyright]
179	179	179	TRUE	THE CHRISTIAN WARFARE	P.M.	In the world ye shall have tribulation: but be of good cheer; I have overcome the world.—John 16:33.	C Major	The Southern Harmony, 1835.	The Southern Harmony, 1835. Alto William Walker, 1867.	[no copyright]
180	180	180	TRUE	VERMONT	C.M.D.	For it is a good thing that the heart be established with grace; not with meats.—Heb. 13:9.	E Minor	Isaac Watts, 1707.	William Billings, 1778.	[no copyright]
181	181	181	TRUE	EXIT	L.M.	He cometh forth like a flower, and is cut down.—Job 14:2.	E Minor	Isaac Watts, 1719.	P. Sherman, 1808.	[no copyright]
182	182	182	TRUE	NEWBURGH	S.M.D.	Let every thing that hath breath praise the Lord. Praise ye the Lord.—Ps. 150:6.	C Major	Isaac Watts, 1719.	Amos Munson, 1798.	[no copyright]
183	183	183	TRUE	GREENWICH	L.M.D.	For I was envious at the foolish, when I saw the prosperity of the wicked.—Ps. 73:3.	E Minor	Isaac Watts, 1719.	Daniel Read, 1786.	[no copyright]
n402	10402	184	TRUE	AND JESUS CRUCIFIED	P.M.	For I determined not to know any thing among you, save Jesus Christ, and him crucified.—1 Cor. 2:2.	E Minor	Charles Wesley, 1742.	David B. Wright, 2000.	Copyright 2025 Sacred Harp Publishing Company.
185	185	185	TRUE	PILGRIM’S FAREWELL	L.M.	Farewell. Be perfect, be of good comfort, be of one mind, live in peace.—2 Cor. 13:11.	G Major	v. 1 Samuel Crossman, 1664, alt. v. 2–3 The Western Missionary Magazine, 1803.	The Psalmodist’s Companion, 1793, and Field, 1802. Alto W. M. Cooper, 1902.	[no copyright]
186	186	186	TRUE	SHERBURNE	C.M.	And there were in the same country shepherds abiding in the field, keeping watch over their flock by night.—Luke 2:8.	D Major	Tate and Brady, 1700.	Daniel Read, 1785.	[no copyright]
187	187	187	TRUE	PROTECTION	C.M.	With a strong hand, and with a stretched out arm: for his mercy endureth for ever.—Ps. 136:12.	F Major	Isaac Watts, 1719.	P. Sherman, 1808.	[no copyright]
n1219	11219	188	TRUE	EPHESUS	L.P.M.	The heavens declare the glory of God; and the firmament sheweth his handywork.—Ps. 19:1.	B♭ Major	Isaac Watts, 1719.	Jesse P. Karlsberg, 2019.	Copyright 2025 Sacred Harp Publishing Company.
189	189	189	TRUE	MONTGOMERY	C.M.D.	Those that seek me early shall find me.—Prov. 8:17.	C Major	Isaac Watts, 1719.	Justin Morgan, 1790.	[no copyright]
191	191	191	TRUE	VIRGINIA	C.M.	He causeth his wind to blow, and the waters flow.—Ps. 147:18.	E Minor	Isaac Watts, 1719.	Oliver Brownson, 1782.	[no copyright]
192	192	192	TRUE	SCHENECTADY	L.M.D.	O sing unto the Lord a new song: sing unto the Lord, all the earth.—Ps. 96:1.	E♭ Major	Isaac Watts, 1719.	Nehemiah Shumway, 1805.	[no copyright]
193	193	193	TRUE	HUNTINGTON	L.M.D.	Surely thou didst set them in slippery places.—Ps. 73:18.	A Major	Isaac Watts, 1719.	Justin Morgan, 1790.	[no copyright]
195	195	195	TRUE	WORCESTER	S.M.D.	How beautiful upon the mountains are the feet of him that bringeth good tidings.—Isa. 52:7.	F Major	Isaac Watts, 1707.	Abraham Wood, 1778.	[no copyright]
196	196	196	TRUE	ALABAMA	C.M.D.	And they sing the song of Moses the servant of God, and the song of the Lamb.—Rev. 15:3.	E Minor	The Southern Harmony, 1835.	Arr. The Southern Harmony, 1835. Alto William Walker, 1835.	[no copyright]
197	197	197	TRUE	GEORGIA	C.M.D.	But God commendeth his love toward us, in that, while we were yet sinners, Christ died for us.—Rom. 5:8.	E Minor	The Southern Harmony, 1835.	T. B. McGraw, 1935.	Copyright 1936 Sacred Harp Publishing Company.
198	198	198	TRUE	GREEN STREET	C.M.	At the name of Jesus every knee should bow.—Phil. 2:10.	B♭ Major	Edward Perronet, 1779.	George Coles, 1842.	[no copyright]
200	200	200	TRUE	EDOM	C.M.D.	Who covereth the heaven with clouds, who prepareth rain for the earth, who maketh grass to grow upon the mountains.—Ps. 147:8.	F Major	Isaac Watts, 1719.	Elisha West, 1797.	[no copyright]
201	201	201	TRUE	PILGRIM	P.M.	Fear not, nor be dismayed, be strong and of good courage: for thus shall the Lord do to all your enemies against whom ye fight.—Josh. 10:25.	F♯ Minor	John Adam Granade, 1804.	Arr. The Missouri Harmony, 1820. Alto Anna Blackshear, 1902.	[no copyright]
202	202	202	TRUE	NEW LEBANON	L.P.M.	Let the heaven and earth praise him, the seas, and every thing that moveth therein.—Ps. 69:34.	E♭ Major	Isaac Watts, 1719.	P. Sherman, 1808.	[no copyright]
203	203	203	TRUE	FLORIDA	S.M.	And it shall come to pass, that whosoever shall call on the name of the Lord shall be saved.—Acts 2:21.	E Minor	Isaac Watts, 1719.	Truman S. Wetmore, 1803.	[no copyright]
204	204	204	TRUE	MISSION	L.M.D.	Rejoice, O young man, in thy youth; and let thy heart cheer thee in the days of thy youth.—Eccles. 11:9.	G Major	Divine Songs, 1814.	Arr. Andrew Gramling, 1835. Alto William Walker, 1867.	[no copyright]
205	205	205	TRUE	PLEASANT HILL	C.M.D.	Therefore shall ye keep my commandments, and do them.—Lev. 22:31.	E Major	John Fawcett, 1782.	William Nicholson, 1820.	[no copyright]
206	206	206	TRUE	CHRISTIAN’S HOPE	8,8,8,6.	Lord Jesus Christ, which is our hope.—1 Tim. 1:1.	G Major	H. A. Parris, 1907.	H. A. Parris, 1907. Alto S. M. Denson, 1911.	[no copyright]
207	207	207	TRUE	LOUISIANA	8s & 7s D.	Whosoever shall receive one of such children in my name, receiveth me.—Mark 9:37.	B♭ Major	The Southern Harmony, 1835.	William Walker, 1835. Alto 1867.	[no copyright]
208	208	208	TRUE	TRAVELING ON	L.M.	With my staff I passed over this Jordan.—Gen. 32:10.	F Major	The Psalmodist’s Companion, 1793.	S. M. Denson and J. S. James, 1911.	[no copyright]
209	209	209	TRUE	EVENING SHADE	S.M.	The night cometh, when no man can work.—John 9:4.	E Minor	John Leland, 1790.	Stephen Jenks, 1805. Alto A Supplement to the Kentucky Harmony, 1822.	[no copyright]
210	210	210	TRUE	LENA	8,8,7,8,8,7.	Jesus, when he had cried again with a loud voice, yielded up the ghost.—Matt. 27:50.	F♯ Minor	v. 1 Joseph Hart, 1769. v. 2–3 Smith and Jones’s Hymns, 1804.	Daniel Belknap, 1794.	[no copyright]
211	211	211	TRUE	WHITESTOWN	L.M.D.	His name shall endure for ever: his name shall be continued as long as the sun.—Ps. 72:17.	E Minor	Isaac Watts, 1719.	Howd, 1800.	[no copyright]
212	212	212	TRUE	SHARON	S.P.M.	Behold, how good and how pleasant it is for brethren to dwell together in unity!—Ps. 133:1.	D Major	Isaac Watts, 1719.	Elisha West, 1793. Alto W. H. Swan, 1848.	[no copyright]
213t	213.1	213.1	TRUE	THE GOOD OLD WAY	L.M.	Let them give glory unto the Lord, and declare his praise.—Isa. 42:12.	F Major	Mintz’s Spiritual Song Book, 1805.	William Walker, 1835. Alto J. M. C. Shaw, 1902.	[no copyright]
n1225	11225	213.2	TRUE	TREMBLING SPIRIT	S.M.	A time to die.—Eccles. 3:2.	E Minor	Charles Wesley, 1763.	Jesse P. Karlsberg, 2018.	Copyright 2025 Sacred Harp Publishing Company.
214	214	214	TRUE	REPENTANCE	C.M.D.	But, except ye repent, ye shall all likewise perish.—Luke 13:3.	F♯ Minor	Isaac Watts, 1707.	Rollo, 1796.	[no copyright]
215	215	215	TRUE	NEW TOPIA	C.M.D.	He that soweth iniquity shall reap vanity.—Prov. 22:8.	E Minor	Hall’s New Collection, 1804.	Reubin Monday, 1816.	[no copyright]
216	216	216	TRUE	DELIGHT	H.M.	The sun shall not smite thee by day, nor the moon by night.—Ps. 121:6.	E Minor	Isaac Watts, 1719.	Simeon Coan, 1798.	[no copyright]
217	217	217	TRUE	BALLSTOWN	L.M.	For a day in thy courts is better than a thousand.—Ps. 84:10.	F Major	Isaac Watts, 1719.	Nehemiah Shumway, 1809.	[no copyright]
218	218	218	TRUE	MOUNT PLEASANT	C.M.	We have a building of God, an house not made with hands, eternal in the heavens.—2 Cor. 5:1.	F Major	Isaac Watts, 1709.	Deolph, 1793.	[no copyright]
n284	10284	219	TRUE	HE HATH SAVED US	8s & 7s.	Blessed be the Lord God of Israel; for he hath visited and redeemed his people.—Luke 1:68.	A Major	John Adams, 1776.	Matthew Parkinson, 2016.	Copyright 2025 Sacred Harp Publishing Company.
220	220	220	TRUE	MOUNT ZION	S.M.D.	I will lift up mine eyes unto the hills, from whence cometh my help.—Ps. 121:1.	C Major	Isaac Watts, 1707.	Bartholomew Brown, 1792. Alto B. P. Poyner, 1902.	[no copyright]
222	222	222	TRUE	OCEAN	C.M.D.	Bless the Lord, all his works in all places of his dominion.—Ps. 103:22.	F Major	Isaac Watts, 1719.	The Philadelphia Harmony, 1789.	[no copyright]
n470	10470	223	TRUE	BALM IN GILEAD	7s & 6s.	Is there no balm in Gilead; is there no physician there?—Jer. 8:22.	F Minor	v. 1, 3 Meta Heusser-Schweizer, 1837, tr. Jane Borthwick, 1884. v. 2 Anna Laetitia Waring, 1850.	Arr. Rebecca Wright, 2018.	Copyright 2025 Sacred Harp Publishing Company.
224	224	224	TRUE	SAVE, LORD, OR WE PERISH	12s.	And his disciples came to him, and awoke him, saying, Lord, save us: we perish.—Matt. 8:25.	E Minor	Reginald Heber, 1827.	M. Mark Wynn, 1870.	[no copyright]
